Scrape started at 2025-12-09 21:02:55.337802+05:30
[2025-12-09 21:02:55] --- Starting DishTV Scraper ---
[2025-12-09 21:03:02] DISH SUCCESS: 142504 -> 9x-tashan.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 142510 -> aakash-aath.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 142639 -> &privé-hd.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 144026 -> tv9-bangla.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 157968 -> sony-aath.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 144431 -> zee-24-ghanta.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 143271 -> kolkata-tv.json (09/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 143218 -> jalsha-movies.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 144431 -> zee-24-ghanta.json (09/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 144028 -> tv9-gujarati.json (09/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 144028 -> tv9-gujarati.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 142778 -> dd-bangla.json (09/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 142510 -> aakash-aath.json (09/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 144026 -> tv9-bangla.json (09/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 144432 -> zee-24-kalak.json (09/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 144432 -> zee-24-kalak.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 143818 -> star-jalsha.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 142778 -> dd-bangla.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 157968 -> sony-aath.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 142518 -> abp-ananda.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 143818 -> star-jalsha.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 157577 -> colors-bangla.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 159125 -> sony-sab.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 157577 -> colors-bangla.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 159125 -> sony-sab.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 117853 -> zee-bangla.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 158148 -> colors-gujarati.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 157589 -> sony.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 157589 -> sony.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 142519 -> abp-asmita.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 142519 -> abp-asmita.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 142518 -> abp-ananda.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 144478 -> zee-tv.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 159130 -> star-bharat.json (09/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 158144 -> colors.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 159130 -> star-bharat.json (10/12/2025)
[2025-12-09 21:03:03] DISH SUCCESS: 158144 -> colors.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 117853 -> zee-bangla.json (10/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 142630 -> alankar.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 142630 -> alankar.json (10/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158148 -> colors-gujarati.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 143831 -> star-plus.json (10/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158136 -> aastha-telugu.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158134 -> aastha-kannada.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 142495 -> 10tv.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158136 -> aastha-telugu.json (10/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158135 -> aastha-gujarati.json (09/12/2025)
